vehicle_id,trip_start_date,date_updated,position_longitude,trip_schedule_relationship,position_speed,vehicle_current_status,trip_route_id,position_odometer,vehicle_label,trip_id,position_latitude,geographic_point
789,20200428,2020-05-19 18:00:04,-99.13909912109375,0,0,1,171,0,941,9673841,19.44379997253418,"19.4437999725,-99.1390991211"
523,,2020-05-19 18:00:04,-99.1613998413086,2,2,2,367,0,1011,,19.42729949951172,"19.4272994995,-99.1613998413"
10016,20200428,2020-05-19 18:00:04,-99.18579864501953,0,12,2,367,233,1036,9732076,19.30139923095703,"19.301399231,-99.185798645"
10023,20200428,2020-05-19 18:00:04,-99.16519927978516,0,1,2,367,0,1043,9730336,19.41629981994629,"19.4162998199,-99.1651992798"
531,20200428,2020-05-19 18:00:04,-99.16899871826172,0,3,1,367,0,1057,9732533,19.279399871826172,"19.2793998718,-99.1689987183"
1177,,2020-05-19 18:00:04,-99.18550109863281,2,7,2,367,0,1096,,19.2987003326416,"19.2987003326,-99.1855010986"
1160,,2020-05-19 18:00:04,-99.11940002441406,2,0,1,,96,1101,,19.498899459838867,"19.4988994598,-99.1194000244"
1072,,2020-05-19 18:00:04,-99.11940002441406,2,0,1,,0,1309,,19.497600555419922,"19.4976005554,-99.1194000244"
1236,20200428,2020-05-19 18:00:04,-99.17330169677734,0,10,2,301,0,2312,9736177,19.404199600219727,"19.4041996002,-99.1733016968"
10007,20200428,2020-05-19 18:00:04,-99.07949829101562,0,6,2,301,0,2338,9738223,19.386499404907227,"19.3864994049,-99.079498291"
930,20200428,2020-05-19 18:00:04,-99.08039855957031,0,6,2,301,0,2340,9737384,19.38719940185547,"19.3871994019,-99.0803985596"
1225,20200428,2020-05-19 18:00:04,-99.10880279541016,0,6,2,301,0,2341,9735764,19.3976993560791,"19.3976993561,-99.1088027954"
1226,,2020-05-19 18:00:04,-99.05919647216797,2,0,2,,1845,2342,,19.389299392700195,"19.3892993927,-99.0591964722"
1237,20200428,2020-05-19 18:00:04,-99.15910339355469,0,11,2,301,415,2346,9736821,19.396099090576172,"19.3960990906,-99.1591033936"
1024,20200428,2020-05-19 18:00:04,-99.04730224609375,0,0,2,301,0,2351,9737808,19.390899658203125,"19.3908996582,-99.0473022461"
1025,20200428,2020-05-19 18:00:04,-99.0718994140625,0,13,2,301,564,2352,9737527,19.38640022277832,"19.3864002228,-99.0718994141"
10002,20200428,2020-05-19 18:00:04,-99.10459899902344,0,7,2,301,0,2358,9737246,19.397300720214844,"19.3973007202,-99.104598999"
1230,20200428,2020-05-19 18:00:04,-99.12930297851562,0,0,2,301,0,2361,9735848,19.39780044555664,"19.3978004456,-99.1293029785"
1232,20200428,2020-05-19 18:00:04,-99.13749694824219,0,14,2,301,0,2363,9735896,19.39389991760254,"19.3938999176,-99.1374969482"
1233,20200428,2020-05-19 18:00:04,-99.09049987792969,0,6,1,301,0,2364,9738271,19.39389991760254,"19.3938999176,-99.0904998779"
1235,20200428,2020-05-19 18:00:04,-99.14579772949219,0,0,2,301,276,2366,9736965,19.395099639892578,"19.3950996399,-99.1457977295"
1241,20200428,2020-05-19 18:00:04,-99.15499877929688,0,3,1,301,0,2376,9735980,19.39579963684082,"19.3957996368,-99.1549987793"
